cnom,start,end,mid
rouge1,0,0.0078125,0.00390625
rouge2,0.0078125,0.015625,0.01171875
orange,0.015625,0.0625,0.0390625
chair,0.0625,0.109375,0.0859375
jaune1,0.109375,0.15625,0.132813
jaune2,0.15625,0.203125,0.179688
vert1,0.203125,0.328125,0.265625
vert2,0.328125,0.453125,0.390625
cyan1,0.453125,0.5,0.476563
cyan2,0.5,0.546875,0.523438
bleu1,0.546875,0.65625,0.601563
bleu2,0.65625,0.765625,0.710938
violet1,0.765625,0.859375,0.8125
violet2,0.859375,0.953125,0.90625
rouge3,0.953125,0.976563,0.964844
rouge4,0.976563,1,0.988281
